left,right,metric,n,mean_delta,wins,losses,ties,bootstrap_ci95_low,bootstrap_ci95_high
qore_dpr,qore_as_control,recall,156,0.11481453767695116,75,27,54,0.07018990305231651,0.15969212437848396
qore_dpr,qore_as_control,f1,200,0.05438492063492063,38,20,142,0.015158730158730151,0.09348412698412698
qore_dpr,qore_as_control,em,200,0.025,12,7,181,-0.015,0.07
qore_dpr,qore_as_control,redundancy,200,-0.026013386405068374,56,144,0,-0.033373447149367554,-0.018835377339724412
qore_dpr,qore_as_control,selection_time_ms,200,-0.3842650049966778,14,186,0,-0.5376415499989662,-0.29309602499722587
qore_as_control,qore_as_idea6,recall,156,0.011035189881343726,13,8,135,-0.004865807269653422,0.027488181334335185
qore_as_control,qore_as_idea6,f1,200,0.014199134199134197,11,7,182,0.0004069264069264064,0.03073809523809524
qore_as_control,qore_as_idea6,em,200,0.02,4,0,196,0.005,0.04
qore_as_control,qore_as_idea6,redundancy,200,0.004675083030642534,61,22,117,0.0025427721125382595,0.006868865892725971
qore_as_control,qore_as_idea6,selection_time_ms,200,1182.774487369998,200,0,0,1179.0932279349984,1186.3296272799992
qore_as_idea6,topk_as,recall,156,0.064398309081567,36,9,111,0.03319196724174099,0.09790977624688033
qore_as_idea6,topk_as,f1,200,-0.01658008658008658,7,16,177,-0.03538311688311688,0.00015476190476190518
qore_as_idea6,topk_as,em,200,-0.015,1,4,195,-0.04,0.005
qore_as_idea6,topk_as,redundancy,200,0.03563945966072147,139,4,57,0.030262085865056933,0.04124370093104581
qore_as_idea6,topk_as,selection_time_ms,200,-1193.940309854999,0,200,0,-1197.7437077599957,-1190.2958532299906
qore_as_idea6,mmr_as,recall,156,0.01120581802142888,24,15,117,-0.009044812862686167,0.030838061720414672
qore_as_idea6,mmr_as,f1,200,-0.023619769119769117,7,19,174,-0.044829365079365066,-0.004738816738816737
qore_as_idea6,mmr_as,em,200,-0.02,0,4,196,-0.04,-0.005
qore_as_idea6,mmr_as,redundancy,200,0.009154131184423377,91,43,66,0.004679901682283768,0.013732186678278427
qore_as_idea6,mmr_as,selection_time_ms,200,-1193.2088725899991,0,200,0,-1196.9524035899979,-1189.580647034996
