left,right,metric,n,mean_delta,wins,losses,ties,bootstrap_ci95_low,bootstrap_ci95_high
qore_as_control,spectral_dpp_as,recall,156,0.012128244848833084,18,8,130,-0.0030890813979049282,0.02797327944386768
qore_as_control,spectral_dpp_as,f1,200,-0.011880952380952383,9,15,176,-0.034547619047619056,0.010238095238095237
qore_as_control,spectral_dpp_as,em,200,0.0,3,3,194,-0.025,0.025
qore_as_control,spectral_dpp_as,redundancy,200,0.00921740887414069,88,38,74,0.004984553471503239,0.013646240999085941
qore_as_control,spectral_dpp_as,selection_time_ms,200,-6.7829994850040976,1,199,0,-6.859084865002387,-6.680013120006265
qore_as_control,topk_as,recall,156,0.07543349896291072,38,7,111,0.04401246901246901,0.10958615186556366
qore_as_control,topk_as,f1,200,-0.002380952380952381,12,12,176,-0.02088095238095238,0.016190476190476193
qore_as_control,topk_as,em,200,0.005,3,2,195,-0.015,0.03
qore_as_control,topk_as,redundancy,200,0.040314542691364,142,0,58,0.03481330619616647,0.046008265632056095
qore_as_control,topk_as,selection_time_ms,200,-11.381501355000978,0,200,0,-11.53714244499497,-11.292455090002136
qore_as_control,mmr_as,recall,156,0.022241007902772607,22,9,125,0.005349144319732555,0.041383942854531085
qore_as_control,mmr_as,f1,200,-0.00942063492063492,10,13,177,-0.03219047619047619,0.012380952380952381
qore_as_control,mmr_as,em,200,0.0,3,3,194,-0.025,0.025
qore_as_control,mmr_as,redundancy,200,0.013829214215065912,98,31,71,0.009722362140400967,0.018149949883253077
qore_as_control,mmr_as,selection_time_ms,200,-10.62754793000181,0,200,0,-10.75481312500358,-10.550682414996686
