left,right,metric,n,mean_delta,wins,losses,ties,bootstrap_ci95_low,bootstrap_ci95_high
qore_as_control,submodular_as,recall,156,0.024743312243312242,22,6,128,0.008525774334597863,0.042407129907129894
qore_as_control,submodular_as,f1,200,-0.01219047619047619,9,14,177,-0.035809523809523805,0.011238095238095235
qore_as_control,submodular_as,em,200,0.0,4,4,192,-0.03,0.03
qore_as_control,submodular_as,redundancy,200,0.012651052321960113,97,29,74,0.008729673575622049,0.016646067538310046
qore_as_control,submodular_as,selection_time_ms,200,-10.422412920009378,0,200,0,-10.588576445006765,-10.308034775012516
qore_as_control,topk_as,recall,156,0.07543349896291072,38,7,111,0.04401246901246901,0.10958615186556366
qore_as_control,topk_as,f1,200,-0.002380952380952381,12,12,176,-0.02088095238095238,0.016190476190476193
qore_as_control,topk_as,em,200,0.005,3,2,195,-0.015,0.03
qore_as_control,topk_as,redundancy,200,0.040314542691364,142,0,58,0.03481330619616647,0.046008265632056095
qore_as_control,topk_as,selection_time_ms,200,-11.240159600004631,0,200,0,-11.421912450004186,-11.13055626500369
qore_as_control,mmr_as,recall,156,0.022241007902772607,22,9,125,0.005349144319732555,0.041383942854531085
qore_as_control,mmr_as,f1,200,-0.00942063492063492,10,13,177,-0.03219047619047619,0.012380952380952381
qore_as_control,mmr_as,em,200,0.0,3,3,194,-0.025,0.025
qore_as_control,mmr_as,redundancy,200,0.013829214215065912,98,31,71,0.009722362140400967,0.018149949883253077
qore_as_control,mmr_as,selection_time_ms,200,-10.480213140004366,0,200,0,-10.619849330000193,-10.384809950002136
