💾 Output directory: /root/QORE-VLM/exchange/idea7_phase2/20260731T111232/training
📚 Loading training data from /root/QORE-VLM/exchange/idea7_phase2/20260731T111232/data_prep/result.json
   Loaded 141 valid samples
   Train: 112, Val: 29
🖥️  Device: cuda
🧠 Model: LearnableQUBO

🚀 Starting training for 100 epochs
Epoch   1/100 | T=1.000 | Loss=-0.0537 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.498 | w_b=1.000
Epoch   2/100 | T=0.988 | Loss=-0.0740 | Recall=1.0000 | Val_Recall=1.0000 | w_a=1.875 | w_b=1.000
Epoch   3/100 | T=0.977 | Loss=-0.0701 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.258 | w_b=1.000
Epoch   4/100 | T=0.965 | Loss=-0.0664 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.809 | w_b=1.000
Epoch   5/100 | T=0.953 | Loss=-0.0588 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.459 | w_b=1.000
Epoch   6/100 | T=0.942 | Loss=-0.0722 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.129 | w_b=1.000
Epoch   7/100 | T=0.930 | Loss=-0.0665 | Recall=1.0000 | Val_Recall=1.0000 | w_a=3.059 | w_b=1.000
Epoch   8/100 | T=0.918 | Loss=-0.0721 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.844 | w_b=1.000
Epoch   9/100 | T=0.907 | Loss=-0.0765 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.876 | w_b=1.000
Epoch  10/100 | T=0.895 | Loss=-0.0710 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.871 | w_b=1.000
Epoch  11/100 | T=0.883 | Loss=-0.0553 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.944 | w_b=1.000
Epoch  12/100 | T=0.872 | Loss=-0.0576 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.946 | w_b=1.000
Epoch  13/100 | T=0.860 | Loss=-0.0775 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.716 | w_b=1.000
Epoch  14/100 | T=0.848 | Loss=-0.0677 | Recall=1.0000 | Val_Recall=1.0000 | w_a=2.813 | w_b=1.000
